minutes
60
180
60
10
60
30
60
90
30
120
60
120
90
60
0
40
60
120
60
30
360
60
0
60
45
160
120
60
120
120
60
30
60
30
90
120
30
90
40
30
0
240
10
25
90
60
90
120
50
30
45
60
0
25
90
15
60
90
90
0
60
180
0
120
30
45
0
180
120
"1,360"
0
120
40
70
90
60
45
0
60
0
0
90
45
0
0
60
20
32
45
80
180
120
60
65
0
0
90
30
0
0
45
